,Noise level,Scheme,Group Tests,Total Tests,Total Channel Uses,Channel Uses Relative to ITIT (%) ,Total GMACs,GMACs Relative to ITIT (%),Recall,FPR,Accuracy
0,No Noise,ITIT,0.0,1.0,150528.0,100.0,16.5,100.0,98.0,0.12102564102564103,99.87704918032787
1,No Noise,ITGT-FM,0.25,0.2827868852459016,150528.0,100.0,7.405983606557377,44.88474913065077,98.0,0.04923076923076923,99.94877049180327
2,No Noise,GTGT-SM,0.25,0.4051639344262295,99916.04459016393,66.37704918032787,9.425204918032787,57.12245404868356,90.0,0.04923076923076923,99.94057377049181
3,No Noise,GTGT-FM,0.25,0.2827868852459016,113512.91803278688,75.40983606557377,7.405983606557377,44.88474913065077,100.0,0.045128205128205125,99.95491803278689
4,SNR 0,ITIT,0.0,1.0,150528.0,100.0,16.5,100.0,100.0,0.6728205128205128,99.327868852459
5,SNR 0,ITGT-FM,0.25,0.35565573770491804,150528.0,100.0,8.608319672131147,52.171634376552404,96.0,0.2235897435897436,99.77254098360656
6,SNR 0,GTGT-SM,0.25,0.46934426229508197,125678.54163934426,83.49180327868852,10.484180327868854,63.54048683556881,82.0,0.32,99.66188524590164
7,SNR 0,GTGT-FM,0.25,0.3148360655737705,126377.71540983606,83.95628415300546,7.934795081967213,48.08966716343765,100.0,0.1805128205128205,99.81967213114754
8,SNR 1,ITIT,0.0,1.0,150528.0,100.0,16.5,100.0,98.0,0.6994871794871795,99.29918032786885
9,SNR 1,ITGT-FM,0.25,0.34418032786885244,150528.0,100.0,8.418975409836065,51.02409339294585,94.0,0.23589743589743592,99.75819672131148
10,SNR 1,GTGT-SM,0.25,0.42745901639344264,108865.46885245902,72.32240437158471,9.793073770491805,59.351962245404884,80.0,0.20923076923076925,99.77049180327869
11,SNR 1,GTGT-FM,0.25,0.31254098360655735,125456.45114754097,83.34426229508196,7.896926229508197,47.86015896671634,100.0,0.18666666666666668,99.81352459016394
12,SNR 2,ITIT,0.0,1.0,150528.0,100.0,16.5,100.0,100.0,0.5784615384615385,99.42213114754098
13,SNR 2,ITGT-FM,0.25,0.3437704918032787,150528.0,100.0,8.412213114754099,50.98310978638848,100.0,0.21743589743589745,99.7827868852459
14,SNR 2,GTGT-SM,0.25,0.46139344262295084,122487.01901639345,81.37158469945355,10.35299180327869,62.74540486835569,80.0,0.2564102564102564,99.72336065573771
15,SNR 2,GTGT-FM,0.25,0.31065573770491806,124699.69836065575,82.84153005464482,7.865819672131147,47.671634376552404,98.0,0.17846153846153848,99.81967213114754
16,SNR 3,ITIT,0.0,1.0,150528.0,100.0,16.5,100.0,100.0,0.4635897435897436,99.53688524590164
17,SNR 3,ITGT-FM,0.25,0.3365573770491803,150528.0,100.0,8.293196721311475,50.261798310978634,100.0,0.16205128205128205,99.83811475409836
18,SNR 3,GTGT-SM,0.25,0.4036065573770492,99290.90098360657,65.96174863387978,9.399508196721312,56.966716343765526,82.0,0.13743589743589743,99.84426229508196
19,SNR 3,GTGT-FM,0.25,0.3058196721311475,122758.46295081967,81.55191256830601,7.786024590163934,47.18802781917535,100.0,0.12102564102564103,99.87909836065573
20,SNR 5,ITIT,0.0,1.0,150528.0,100.0,16.5,100.0,100.0,0.41230769230769226,99.58811475409836
21,SNR 5,ITGT-FM,0.25,0.320655737704918,150528.0,100.0,8.030819672131148,48.67163437655241,100.0,0.12102564102564103,99.87909836065573
22,SNR 5,GTGT-SM,0.25,0.43631147540983606,112418.91672131147,74.68306010928961,9.939139344262296,60.23720814704422,88.0,0.15384615384615385,99.83401639344262
23,SNR 5,GTGT-FM,0.25,0.309672131147541,124304.87081967214,82.5792349726776,7.849590163934426,47.573273720814704,98.0,0.13128205128205128,99.86680327868852
